T,Z
0.899999976,8.71
-5.0,8.67
3.20000005,8.87
4.0,8.73
5.9000001,8.58
4.0,8.75
2.0,8.72
-4.9000001,8.79
0.899999976,8.75
5.80000019,8.73
3.0999999,8.65
5.19999981,8.65
6.9000001,8.66
1.0,8.73
8.10000038,8.57
2.0,8.67
5.69999981,8.8
5.9000001,8.7
1.10000002,8.85
6.0,8.64
8.0,8.5
6.69999981,8.41
1.89999998,8.73
8.80000019,8.34
3.0,8.74
2.0999999,8.82
4.0999999,8.74
2.0,8.66
2.9000001,8.81
-4.19999981,8.41
3.5999999,8.62
-0.100000001,8.75
6.0,8.58
7.9000001,8.55
5.19999981,8.84
3.0,8.49
3.9000001,8.71
4.0999999,8.8
4.0999999,8.78
3.70000005,8.71
4.0,8.62
4.0,8.64
2.0,8.76
3.20000005,8.78
3.5999999,8.62
2.0999999,8.78
8.10000038,8.69
-3.20000005,8.67
2.0999999,8.74
-3.0999999,8.76
4.0999999,8.76
-2.0,8.6
3.0,8.6
-2.0,8.59
-2.0,8.47
3.0,8.65
5.9000001,8.65
4.0,8.74
5.30000019,8.71
4.0999999,8.65
2.0999999,8.72
0.300000012,8.74
6.4000001,8.69
0.200000003,8.62
4.0,8.77
6.0,8.57
1.0,8.69
-0.200000003,8.42
5.9000001,8.48
5.80000019,8.59
7.9000001,8.67
1.0,8.6
6.4000001,8.43
2.9000001,8.74
1.10000002,8.77
1.0,8.65
1.20000005,8.71
3.4000001,8.69
-0.100000001,8.58
-1.89999998,8.56
3.20000005,8.83
3.0,8.78
3.0,8.72
7.9000001,8.62
2.0,8.68
-2.0999999,8.85
-0.800000012,8.75
-2.0999999,8.58
-4.69999981,8.5
5.80000019,8.49
6.0,8.73
-4.80000019,8.85
7.9000001,8.35
5.9000001,8.69
2.20000005,8.71
2.9000001,8.71
2.9000001,8.81
1.10000002,8.72
3.29999995,8.61
7.9000001,8.39
2.0999999,8.57
4.19999981,8.79
3.0,8.74
-4.9000001,8.7
-4.80000019,8.8
-4.80000019,8.55
-4.69999981,8.59
3.0,8.81
3.79999995,8.67
4.0,8.76
4.0,8.74
0.600000024,8.72
4.0,8.71
3.0999999,8.66
4.0,8.56
6.80000019,8.48
-3.0999999,8.4
3.5,8.65
-2.0,8.6
4.0,8.66
4.0,8.71
4.0,8.78
6.0,8.51
3.9000001,8.69
8.0,8.51
6.4000001,8.62
4.0999999,8.7
-3.20000005,8.58
5.80000019,8.69
3.0,8.68
-4.9000001,8.76
-0.100000001,8.73
4.0999999,8.78
5.80000019,8.66
6.0999999,8.57
-0.100000001,8.53
-2.0,8.7
-3.0,8.7
8.0,8.3
-3.0999999,8.61
3.0,8.82
0.200000003,8.68
6.5999999,8.42
4.0999999,8.62
2.0999999,8.64
4.0,8.6
5.9000001,8.7
9.80000019,8.34
1.10000002,8.66
5.9000001,8.62
2.0,8.6
-2.0999999,8.66
3.29999995,8.64
5.80000019,8.74
2.9000001,8.62
-1.0,8.62
-2.0999999,8.64
2.0,8.73
-4.4000001,8.6
5.5999999,8.73
6.0,8.63
-2.0999999,8.72
7.80000019,8.45
2.0999999,8.67
4.19999981,8.83
-2.0999999,8.62
-1.89999998,8.71
6.9000001,8.62
3.0999999,8.68
5.9000001,8.5
-1.70000005,8.49
1.0,8.69
5.69999981,8.72
-4.80000019,8.71
3.0999999,8.77
5.9000001,8.75
3.29999995,8.78
-5.0,8.67
2.0,8.71
4.0999999,8.6
-0.899999976,8.43
6.0,8.55
8.0,8.36
-0.800000012,8.59
-1.89999998,8.62
3.0999999,8.59
6.0999999,8.31
5.19999981,8.77
-1.70000005,8.75
3.0,8.6
6.0,8.72
3.0999999,8.44
-1.79999995,8.7
1.10000002,8.63
7.80000019,8.74
3.0,8.61
1.20000005,8.65
4.0,8.69
3.0999999,8.7
-2.79999995,8.57
-0.899999976,8.68
-2.0999999,8.67
-0.100000001,8.68
-0.899999976,8.68
3.79999995,8.53
5.30000019,8.83
-4.69999981,8.55
-2.0999999,8.8
3.0999999,8.72
3.0999999,8.87
1.29999995,8.7
4.0,8.88
1.10000002,8.7
-4.9000001,8.76
3.0999999,8.85
-2.0,8.41
-4.9000001,8.65
-1.20000005,8.75
6.5,8.75
-2.0,8.76
3.29999995,8.65
8.10000038,8.43
2.0,8.83
6.5999999,8.65
-2.0,8.77
1.60000002,8.39
-1.20000005,8.68
6.0,8.77
3.0999999,8.73
-1.79999995,8.6
4.0,8.69
4.0,8.83
7.0999999,8.52
-4.9000001,8.66
