# ID,H_BETA_FLUX,H_BETA_FLUX_ERR,OIII_5007_FLUX,OIII_5007_FLUX_ERR,NII_6548_FLUX,NII_6548_FLUX_ERR,H_ALPHA_FLUX,H_ALPHA_FLUX_ERR,NII_6584_FLUX,NII_6584_FLUX_ERR,SII_6717_FLUX,SII_6717_FLUX_ERR,AGN,COMPOSITE
214390,15.395599,3.5307508,26.974997,4.222394,15.53694,1.514471,35.04645,4.0101857,46.863,4.5679893,16.693727,4.0953236,false,true
1121395,26.63951,3.828081,27.781742,4.8587904,7.9083686,1.5234325,55.697655,4.613489,23.853468,4.595019,11.644114,4.603466,false,true
1123648,23.36247,14.586321,19.196114,14.538452,5.734514,5.827328,24.778349,18.68134,17.29662,17.57655,-22.36653,21.33089,false,true
1129681,14.367175,3.951695,28.748978,4.506554,20.885134,1.518584,52.493916,4.4787707,62.994385,4.580395,25.494514,4.030165,false,true
1141644,74.8314,3.8062298,99.86206,4.149702,15.725707,0.72777945,255.12103,4.2231035,47.43236,2.1951485,62.72255,2.9198484,false,true
1154700,24.406786,2.6026545,45.806076,3.680894,27.672606,1.3057458,95.687775,3.2789364,83.466965,3.9384265,56.980858,4.1112695,false,true
1162545,27.631063,2.2531433,16.037956,2.1421475,6.956765,0.5881143,99.04751,2.2897344,20.983212,1.7738867,26.14571,1.6881955,false,true
1185375,0.8221677,3.7038274,-5.795367,2.8744192,-0.19550198,0.7324497,4.123047,3.5442595,-0.5896791,2.209235,0.8756957,2.1667094,false,true
1205049,29.304487,1.808445,8.584168,1.8692249,11.982343,0.6230136,92.275185,1.9323972,36.141514,1.8791509,14.766972,1.5925132,false,true
1206166,5.034748,1.7732213,8.070401,1.8714771,1.2371774,0.37773195,12.707546,1.3851973,3.7316124,1.1393255,5.042965,1.2339743,false,true
1225571,33.56422,3.2243145,122.84309,4.5268326,31.521372,1.32662,110.974915,3.9345365,95.07574,4.0013876,58.676483,3.6177933,false,true
1244511,98.28483,2.6783898,108.82178,3.0093133,20.395437,0.61998004,342.0617,4.137695,61.517345,1.870001,79.19338,2.3787487,false,true
1271383,108.95992,4.0056186,28.753675,3.3257775,91.697014,1.5168918,633.499,7.226083,276.57938,4.5752907,91.56147,4.135949,false,true
1330737,88.28641,3.2171946,28.307503,3.031471,121.35177,1.915929,526.91943,6.7099094,366.02496,5.778878,98.394356,4.0041184,false,true
1346685,170.22928,3.703221,643.34015,7.4624395,14.464787,0.6771595,549.69507,5.7959886,43.62913,2.0424669,91.376816,2.4912322,false,true
1357218,70.12809,11.790923,27.78403,11.74929,1.5006721,10.484512,39.96568,33.391346,4.526374,31.623674,6.3480005,20.987127,false,true
1381241,2.991581,2.2468777,7.07254,3.0244217,3.3365932,0.8943735,12.7405,1.9294263,10.063935,2.697634,1.1912744,2.4630706,false,true
1388003,117.095276,4.4070187,222.34615,6.4195843,93.540306,1.9876591,387.21774,6.6939387,282.1392,5.9952326,88.466545,4.9839425,false,true
1397198,25.934393,2.5835211,26.044228,2.7361221,7.824351,0.61506116,96.51913,2.632281,23.60005,1.8551645,22.573055,2.1084714,false,true
1558448,103.041725,3.0969694,106.98482,3.711696,25.692812,0.66965497,410.02924,4.7908273,77.49545,2.019832,78.61924,2.347913,false,true
